نوع,المنطقة,المساحة,السعر,تفاصيل
شقة,حلب - الفرقان,300 متر,450000$,شقة بحلب/الفرقان قبل جامع عبد الله بن عباس بناية الهرم للحوالات
أرض,كفر حمرة - شارع معمل آسيا للأدوية,3900 متر,110$/م² (الإجمالي 429000$),محضر رقم 25 - موقع استراتيجي على شارع حيوي - مناسب للاستثمار التجاري والصناعي والسكني - منطقة نمو عمراني متسارع - أوراق جاهزة ومعاينة بأي وقت
أرض,كفر حمرة - شارع معمل آسيا للأدوية,672 متر,85$/م² (الإجمالي 57120$),محضر رقم 46 - موقع مميز على شارع حيوي - مناسب لبناء فيلا أو مشروع سكني أو استثماري - منطقة واعدة تشهد توسعاً عمرانياً وارتفاعاً مستمراً بالقيمة - فرصة ممتازة للاستثمار أو البناء
شقة,كفر حمرة - مفرق المستوصف - شارع الشيخة,100 متر,20500$,منزل أرضي - 3 غرف + صالة - 2 حمام - مطبخ مغلق - جنينة خاصة - تدفئة ديزل - موقف سيارات متوفر - مناسب للسكن أو الاستثمار بمنطقة مخدمة وقريبة من جميع الخدمات الأساسية
شقة,الحلوانية - حلب,80 متر (65 صافي),35000$,شقة طابق أول من بناء 4 طوابق - 3 غرف + موزع - مطبخ مغلق - حمام واحد - شرفتان بطول إجمالي 22 متر - اتجاه شرقي جنوبي بإضاءة طبيعية ممتازة - تدفئة ديزل - عمر البناء 10-15 سنة - غير مفروشة - طابو نظامي مرخص - مسكونة من المالك - منطقة مركزية قريبة من جميع الخدمات - مثالية للسكن العائلي أو الاستثمار
شقة,حريتان,110 متر,18000$,شقة طابق أول - 3 غرف - معرّاة بدون إكساء أبداً (على الطوب) - فرصة مميزة
شقة,شارع النيل,240 متر,190000$,شقة فاخرة - 6 غرف - الطابق الثاني - فرصة استثمارية مميزة
شقة,كفرناها - جمعية الرياضيين,600 متر,125000$,مزرعة مبنية طابقين وسطوح كبيرة فيها خزانين مياه - مفرق مقابل المحمود بجانب جامع طيبة، زاوية أربع اتجاهات غربي، تبعد 2 كم عن الرئيسي - الطابق الأول: صالة كبيرة وغرفة ومطبخ بمساحات واسعة - الطابق الثاني: 3 غرف وصالون ومطبخ وحمامين - مسبح مع شواية وحمام سباحة و WC وفلتر مسبح موجود - يوجد جب - بدون تشجير - حارس متواجد طول الوقت للمعاينة - عمارة قوية تفوق المزارع الأخرى - الفرش خاص بالحارس وليس بالمزرعة
شقة,جمعية الزهراء - بجانب دوار المالية,175 متر,180000$,شقة طابق ثاني - إشراف أمامي مفتوح على جامع الرسول الأعظم - 5 غرف واسعة - موزع عملي - 3 بلكونات - شبابيك بجميع الغرف بتهوية وإضاءة ممتازة - إشراف على 3 اتجاهات (غربي شرقي قبلي) بإطلالة مفتوحة ومميزة - تمديدات كهرباء ومياه جديدة بالكامل - جاهزة للفراغ الفوري بدون تعقيدات - مناسبة للسكن العائلي
شقة,سيف الدولة,90 متر (85 صافي),95000$,شقة طابق ثالث من بناء 5 طوابق - 4 غرف + صالة - عمر البناء 30-40 سنة - تدفئة ديزل - حمام واحد - مطبخ مغلق - شرفتان - يوجد مصعد - موقف سيارات مفتوح - غير مفروشة - مسكونة من صاحبها - طابو نظامي مرخص - واجهات غربي وجنوبي بإطلالة وإضاءة جيدة - ضمن مجمع سكني
أرض,كفر حمرة - بجانب مدرسة طيبة الخاصة,671 متر,70$/م² (الإجمالي 46970$),محضر رقم 46 - بجانب مدرسة طيبة الخاصة وقرب معمل آسيا - مساحة مناسبة للبناء والاستثمار - قريب من الخدمات والطرق الرئيسية - سعر منافس وفرصة استثمار جيدة
أرض,كفر حمرة - أوتوستراد غازي عنتاب (مفرق جامع أنس),متر 2311,$1050/م² (الإجمالي $2426550),محضر رقم 578 - موقع رأس بواجهتين (رئيسية على الأوتوستراد + شارع فرعي) - بعد الكارفور 400م - يصلح لمول تجاري/صالات عرض/مستودعات/محطة/مشروع سكني استثماري - أوراق جاهزة ومعاينة متاحة بأي وقت
شقة,حلب الجديدة - جنوبي,210 متر (صافي 138),150000$,شقة أرضية فاخرة بحلب الجديدة الجنوبي - 5 غرف وصالون بشرفتين - اتجاه جنوبي غربي - موقف سيارات - تدفئة ديزل - مطبخ مستقل وحمامين - طابو نظامي - مؤجرة حالياً بإيجار ممتاز (عائد فوري)



